iteracja,id_czastki,x,y,fitness
34,11,6.7932,1.2233,26.4000
34,12,6.5376,1.1989,26.4000
34,13,6.7363,1.3008,26.4000
34,14,6.5115,1.1051,26.4000
34,15,6.6099,1.4465,26.4000
34,16,6.8910,1.1134,26.4000
34,17,6.7221,1.2201,26.4000
34,18,6.4847,1.4962,26.4000
34,19,6.4894,1.2036,26.4000
35,0,6.2691,1.2674,26.4000
35,1,6.8405,1.1346,26.4000
35,2,6.6462,1.2734,26.4000
35,3,6.7787,1.1605,26.4000
35,4,6.5349,1.2060,26.4000
35,5,6.7274,1.2330,26.4000
35,6,6.7413,1.2379,26.4000
35,7,6.7719,1.2343,26.4000
35,8,6.6562,1.2132,26.4000
35,9,6.8003,1.0646,26.4000
35,10,6.5565,1.2160,26.4000
35,11,6.8179,1.2122,26.4000
35,12,6.5208,1.2220,26.4000
35,13,6.7447,1.5248,26.4000
35,14,6.4557,1.1957,26.4000
35,15,6.6725,1.3994,26.4000
35,16,6.8158,1.1552,26.4000
35,17,6.6856,1.2171,26.4000
35,18,6.6509,1.3576,26.4000
35,19,6.6443,1.1994,26.4000
36,0,6.6184,1.2700,26.4000
36,1,6.3827,1.1055,26.4000
